geo_strada_id,geo_strada_zonataraid,geo_strada_zonataracod,geo_strada_zonataranume,geo_strada_judetid,geo_strada_judetcod,geo_strada_judetnume,geo_strada_zonajudetid,geo_strada_zonajudetcod,geo_strada_zonajudetnume,geo_strada_uatid,geo_strada_uatcod,geo_strada_uatnume,geo_strada_zonauatid,geo_strada_zonauatcod,geo_strada_zonauatnume,geo_strada_sectievotareid,geo_strada_sectievotarecod,geo_strada_sectievotarenume,geo_strada_localitateid,geo_strada_localitatecod,geo_strada_localitatenume,geo_strada_zonalocalitateid,geo_strada_zonalocalitatecod,geo_strada_zonalocalitatenume,geo_strada_cod,geo_strada_tip,geo_strada_nume,geo_strada_numecomplet,geo_strada_numere,geo_strada_tmp_judet,geo_strada_tmp_uat,geo_strada_tmp_cod_siruta,geo_strada_tmp_nr,geo_strada_tmp_nrbe,geo_strada_tmp_nrsv,geo_strada_tmp_sediusv,geo_strada_tmp_adresasv,geo_strada_tmp_sirutalevel2_yn,geo_strada_tmp_sirutalevel3_yn,geo_strada_tmp_localitate,geo_strada_tmp_codartera,geo_strada_tmp_artera,geo_strada_tmp_numere,geo_strada_tmp_observatii
22376,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4176,1000006,0,0,0,,0,0,,100006001,,Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea),Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea) numere impare nr. 1 -93# numere pare nr. 2 -82#,numere impare nr. 1 -93# numere pare nr. 2 -82#,BZ,MUNICIPIUL BUZĂU,44818,1000006,10,6,Direcţia de Asistenţă Socială,"Loc. BUZĂU,  Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea) , Nr. 29",NULL,NULL,BUZĂU,14394,Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea),numere impare nr. 1 -93# numere pare nr. 2 -82#,
22378,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4176,1000006,0,0,0,,0,0,,100006003,,Strada Broşteni,Strada Broşteni numere impare nr. 1 -33# numere pare nr. 2 -24# nr. 26 -40#,numere impare nr. 1 -33# numere pare nr. 2 -24# nr. 26 -40#,BZ,MUNICIPIUL BUZĂU,44818,1000006,10,6,Direcţia de Asistenţă Socială,"Loc. BUZĂU,  Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea) , Nr. 29",NULL,NULL,BUZĂU,14029,Strada Broşteni,numere impare nr. 1 -33# numere pare nr. 2 -24# nr. 26 -40#,
22379,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4176,1000006,0,0,0,,0,0,,100006004,,Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea) (D),Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea) (D) numere impare nr. 1 -93# numere pare nr. 2 -82#,numere impare nr. 1 -93# numere pare nr. 2 -82#,BZ,MUNICIPIUL BUZĂU,44818,1000006,10,6,Direcţia de Asistenţă Socială,"Loc. BUZĂU,  Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea) , Nr. 29",NULL,NULL,BUZĂU,14080,Strada Alexandru Marghiloman (Strada Constantin Dobrogeanu Gherea) (D),numere impare nr. 1 -93# numere pare nr. 2 -82#,
22400,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4178,1000008,0,0,0,,0,0,,100008001,,Cartierul Broşteni,"Cartierul Broşteni nr. - bl. A1,bl. A2,bl. A3,bl. A4,bl. A5,bl. B1,bl. B2,bl. B3,bl. B4,bl. B5,bl. B6,bl. B7,bl. B8,bl. B9,bl. N6,bl. N7,bl. N8,bl. O1,bl. O2,bl. O3,bl. B10,bl. B11,bl. N10,bl. N8A#","nr. - bl. A1,bl. A2,bl. A3,bl. A4,bl. A5,bl. B1,bl. B2,bl. B3,bl. B4,bl. B5,bl. B6,bl. B7,bl. B8,bl. B9,bl. N6,bl. N7,bl. N8,bl. O1,bl. O2,bl. O3,bl. B10,bl. B11,bl. N10,bl. N8A#",BZ,MUNICIPIUL BUZĂU,44818,1000008,10,8,Liceul Tehnologic ”Grigore Moisil”,"Loc. BUZĂU,  Aleea Afinelor , Nr. 7",NULL,NULL,BUZĂU,14383,Cartierul Broşteni,"nr. - bl. A1,bl. A2,bl. A3,bl. A4,bl. A5,bl. B1,bl. B2,bl. B3,bl. B4,bl. B5,bl. B6,bl. B7,bl. B8,bl. B9,bl. N6,bl. N7,bl. N8,bl. O1,bl. O2,bl. O3,bl. B10,bl. B11,bl. N10,bl. N8A#",
22401,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4178,1000008,0,0,0,,0,0,,100008002,,Strada Broşteni,"Strada Broşteni nr. - bl. A1,bl. A3,bl. A4,bl. A5,bl. B2,bl. B3,bl. B5,bl. B8,bl. N8,bl. O1,bl. B10,bl. N10# nr. 24A bl. N7#","nr. - bl. A1,bl. A3,bl. A4,bl. A5,bl. B2,bl. B3,bl. B5,bl. B8,bl. N8,bl. O1,bl. B10,bl. N10# nr. 24A bl. N7#",BZ,MUNICIPIUL BUZĂU,44818,1000008,10,8,Liceul Tehnologic ”Grigore Moisil”,"Loc. BUZĂU,  Aleea Afinelor , Nr. 7",NULL,NULL,BUZĂU,14029,Strada Broşteni,"nr. - bl. A1,bl. A3,bl. A4,bl. A5,bl. B2,bl. B3,bl. B5,bl. B8,bl. N8,bl. O1,bl. B10,bl. N10# nr. 24A bl. N7#",
22408,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4179,1000009,0,0,0,,0,0,,100009000,,Cartierul Broşteni,"Cartierul Broşteni nr. - bl. 15,bl. G4,bl. G5,bl. G6,bl. I1,bl. I2,bl. I3,bl. I4,bl. I5,bl. I6,bl. I7,bl. I8,bl. I9,bl. L2,bl. L3,bl. L4,bl. L5,bl. L6,bl. M1,bl. M2,bl. M3,bl. M4,bl. M5,bl. M6,bl. M7,bl. M8,bl. M9,bl. I 5,bl. I10,bl. I11,bl. M10,bl. M11,bl. M12,bl. M8A,bl. I 11#","nr. - bl. 15,bl. G4,bl. G5,bl. G6,bl. I1,bl. I2,bl. I3,bl. I4,bl. I5,bl. I6,bl. I7,bl. I8,bl. I9,bl. L2,bl. L3,bl. L4,bl. L5,bl. L6,bl. M1,bl. M2,bl. M3,bl. M4,bl. M5,bl. M6,bl. M7,bl. M8,bl. M9,bl. I 5,bl. I10,bl. I11,bl. M10,bl. M11,bl. M12,bl. M8A,bl. I 11#",BZ,MUNICIPIUL BUZĂU,44818,1000009,10,9,Liceul Tehnologic ”Grigore Moisil”,"Loc. BUZĂU,  Aleea Afinelor , Nr. 7",NULL,NULL,BUZĂU,14383,Cartierul Broşteni,"nr. - bl. 15,bl. G4,bl. G5,bl. G6,bl. I1,bl. I2,bl. I3,bl. I4,bl. I5,bl. I6,bl. I7,bl. I8,bl. I9,bl. L2,bl. L3,bl. L4,bl. L5,bl. L6,bl. M1,bl. M2,bl. M3,bl. M4,bl. M5,bl. M6,bl. M7,bl. M8,bl. M9,bl. I 5,bl. I10,bl. I11,bl. M10,bl. M11,bl. M12,bl. M8A,bl. I 11#",
22409,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4179,1000009,0,0,0,,0,0,,100009001,,Strada Broşteni,"Strada Broşteni nr. - bl. I1,bl. I3,bl. I4,bl. I5,bl. L3,bl. M3,bl. M4,bl. M5,bl. M7,bl. M10,bl. M11#","nr. - bl. I1,bl. I3,bl. I4,bl. I5,bl. L3,bl. M3,bl. M4,bl. M5,bl. M7,bl. M10,bl. M11#",BZ,MUNICIPIUL BUZĂU,44818,1000009,10,9,Liceul Tehnologic ”Grigore Moisil”,"Loc. BUZĂU,  Aleea Afinelor , Nr. 7",NULL,NULL,BUZĂU,14029,Strada Broşteni,"nr. - bl. I1,bl. I3,bl. I4,bl. I5,bl. L3,bl. M3,bl. M4,bl. M5,bl. M7,bl. M10,bl. M11#",
22417,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4180,1000010,0,0,0,,0,0,,100010002,,Cartierul Broşteni,"Cartierul Broşteni nr. - bl. 3 CONTACTOARE,bl. 3CONTACTOARE,bl. 5 CONTACTOARE,bl. 5CONTACTOARE,bl. 5,bl. A9,bl. C1,bl. C2,bl. C3,bl. F1,bl. F2,bl. F3,bl. F4,bl. R1,bl. R2,bl. R3,bl. R4,bl. R5,bl. S1,bl. S2,bl. A10,bl. A11,bl. A12,bl. A11A#","nr. - bl. 3 CONTACTOARE,bl. 3CONTACTOARE,bl. 5 CONTACTOARE,bl. 5CONTACTOARE,bl. 5,bl. A9,bl. C1,bl. C2,bl. C3,bl. F1,bl. F2,bl. F3,bl. F4,bl. R1,bl. R2,bl. R3,bl. R4,bl. R5,bl. S1,bl. S2,bl. A10,bl. A11,bl. A12,bl. A11A#",BZ,MUNICIPIUL BUZĂU,44818,1000010,10,10,Liceul Tehnologic ”Grigore Moisil”,"Loc. BUZĂU,  Aleea Afinelor , Nr. 7",NULL,NULL,BUZĂU,14383,Cartierul Broşteni,"nr. - bl. 3 CONTACTOARE,bl. 3CONTACTOARE,bl. 5 CONTACTOARE,bl. 5CONTACTOARE,bl. 5,bl. A9,bl. C1,bl. C2,bl. C3,bl. F1,bl. F2,bl. F3,bl. F4,bl. R1,bl. R2,bl. R3,bl. R4,bl. R5,bl. S1,bl. S2,bl. A10,bl. A11,bl. A12,bl. A11A#",
22418,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4180,1000010,0,0,0,,0,0,,100010003,,Strada Broşteni,"Strada Broşteni nr. - bl. C2,bl. C3,bl. F1,bl. F3,bl. R3,bl. S1,bl. A11A#","nr. - bl. C2,bl. C3,bl. F1,bl. F3,bl. R3,bl. S1,bl. A11A#",BZ,MUNICIPIUL BUZĂU,44818,1000010,10,10,Liceul Tehnologic ”Grigore Moisil”,"Loc. BUZĂU,  Aleea Afinelor , Nr. 7",NULL,NULL,BUZĂU,14029,Strada Broşteni,"nr. - bl. C2,bl. C3,bl. F1,bl. F3,bl. R3,bl. S1,bl. A11A#",
22428,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4181,1000011,0,0,0,,0,0,,100011001,,Cartierul Broşteni,"Cartierul Broşteni nr. - bl. C4,bl. C5,bl. C6,bl. C7,bl. C8,bl. C9,bl. D1,bl. D2,bl. D3,bl. D4,bl. D5,bl. D6,bl. D7,bl. D8,bl. D9,bl. P1,bl. P2,bl. P3,bl. P4,bl. P5,bl. P6,bl. P7,bl. P8,bl. C.4,bl. C.6,bl. C10,bl. D10,bl. D11,bl. D12,bl. D13,bl. D14,bl. D15,bl. P1A,bl. P4A,bl. P5A,bl. P8A#","nr. - bl. C4,bl. C5,bl. C6,bl. C7,bl. C8,bl. C9,bl. D1,bl. D2,bl. D3,bl. D4,bl. D5,bl. D6,bl. D7,bl. D8,bl. D9,bl. P1,bl. P2,bl. P3,bl. P4,bl. P5,bl. P6,bl. P7,bl. P8,bl. C.4,bl. C.6,bl. C10,bl. D10,bl. D11,bl. D12,bl. D13,bl. D14,bl. D15,bl. P1A,bl. P4A,bl. P5A,bl. P8A#",BZ,MUNICIPIUL BUZĂU,44818,1000011,10,11,Liceul Tehnologic ”Grigore Moisil”,"Loc. BUZĂU,  Aleea Afinelor , Nr. 7",NULL,NULL,BUZĂU,14383,Cartierul Broşteni,"nr. - bl. C4,bl. C5,bl. C6,bl. C7,bl. C8,bl. C9,bl. D1,bl. D2,bl. D3,bl. D4,bl. D5,bl. D6,bl. D7,bl. D8,bl. D9,bl. P1,bl. P2,bl. P3,bl. P4,bl. P5,bl. P6,bl. P7,bl. P8,bl. C.4,bl. C.6,bl. C10,bl. D10,bl. D11,bl. D12,bl. D13,bl. D14,bl. D15,bl. P1A,bl. P4A,bl. P5A,bl. P8A#",
22429,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4181,1000011,0,0,0,,0,0,,100011002,,Strada Broşteni,"Strada Broşteni nr. - bl. C6,bl. C8,bl. C9,bl. D2,bl. D3,bl. D9,bl. P2,bl. P4,bl. P5,bl. C10,bl. D11,bl. D12,bl. D15,bl. P4A,bl. P8A#","nr. - bl. C6,bl. C8,bl. C9,bl. D2,bl. D3,bl. D9,bl. P2,bl. P4,bl. P5,bl. C10,bl. D11,bl. D12,bl. D15,bl. P4A,bl. P8A#",BZ,MUNICIPIUL BUZĂU,44818,1000011,10,11,Liceul Tehnologic ”Grigore Moisil”,"Loc. BUZĂU,  Aleea Afinelor , Nr. 7",NULL,NULL,BUZĂU,14029,Strada Broşteni,"nr. - bl. C6,bl. C8,bl. C9,bl. D2,bl. D3,bl. D9,bl. P2,bl. P4,bl. P5,bl. C10,bl. D11,bl. D12,bl. D15,bl. P4A,bl. P8A#",
22441,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4182,1000012,0,0,0,,0,0,,100012002,,Cartierul Broşteni,"Cartierul Broşteni nr. - bl. H1,bl. H2,bl. H3,bl. H4,bl. H5,bl. H6,bl. H7,bl. H8,bl. H9,bl. J1,bl. J2,bl. J3,bl. J4,bl. J5,bl. J6,bl. K1,bl. K2,bl. K3,bl. K4,bl. K5,bl. K6,bl. N1,bl. N2,bl. N3,bl. N4,bl. N5,bl. H10,bl. H11,bl. N2A,bl. N2B# nr. 1 bl. K5#","nr. - bl. H1,bl. H2,bl. H3,bl. H4,bl. H5,bl. H6,bl. H7,bl. H8,bl. H9,bl. J1,bl. J2,bl. J3,bl. J4,bl. J5,bl. J6,bl. K1,bl. K2,bl. K3,bl. K4,bl. K5,bl. K6,bl. N1,bl. N2,bl. N3,bl. N4,bl. N5,bl. H10,bl. H11,bl. N2A,bl. N2B# nr. 1 bl. K5#",BZ,MUNICIPIUL BUZĂU,44818,1000012,10,12,Colegiul Universitar Economic,"Loc. BUZĂU,  Strada Academiei , Nr. 1",NULL,NULL,BUZĂU,14383,Cartierul Broşteni,"nr. - bl. H1,bl. H2,bl. H3,bl. H4,bl. H5,bl. H6,bl. H7,bl. H8,bl. H9,bl. J1,bl. J2,bl. J3,bl. J4,bl. J5,bl. J6,bl. K1,bl. K2,bl. K3,bl. K4,bl. K5,bl. K6,bl. N1,bl. N2,bl. N3,bl. N4,bl. N5,bl. H10,bl. H11,bl. N2A,bl. N2B# nr. 1 bl. K5#",
22442,1,TR,Țară,10,BZ,JUDEȚUL BUZĂU,0,,,690,44818,MUNICIPIUL BUZĂU,0,0,,4182,1000012,0,0,0,,0,0,,100012003,,Strada Broşteni,"Strada Broşteni nr. - bl. H3,bl. H5,bl. H7,bl. H8,bl. J4,bl. K1,bl. K3,bl. K5,bl. N1#","nr. - bl. H3,bl. H5,bl. H7,bl. H8,bl. J4,bl. K1,bl. K3,bl. K5,bl. N1#",BZ,MUNICIPIUL BUZĂU,44818,1000012,10,12,Colegiul Universitar Economic,"Loc. BUZĂU,  Strada Academiei , Nr. 1",NULL,NULL,BUZĂU,14029,Strada Broşteni,"nr. - bl. H3,bl. H5,bl. H7,bl. H8,bl. J4,bl. K1,bl. K3,bl. K5,bl. N1#",
